Zip,state,Subregion annual CO2e output emission rate (lb/kWh)
3819,NH,0.727603
3820,NH,0.727603
3821,NH,0.727603
3822,NH,0.727603
3823,NH,0.727603
3824,NH,0.727603
3825,NH,0.727603
3826,NH,0.727603
3827,NH,0.727603
3830,NH,0.727603
3832,NH,0.727603
3833,NH,0.727603
3835,NH,0.727603
3836,NH,0.727603
3837,NH,0.727603
3838,NH,0.727603
3839,NH,0.727603
3840,NH,0.727603
3841,NH,0.727603
3842,NH,0.727603
3843,NH,0.727603
3844,NH,0.727603
3845,NH,0.727603
3846,NH,0.727603
3847,NH,0.727603
3848,NH,0.727603
3849,NH,0.727603
3850,NH,0.727603
3851,NH,0.727603
3852,NH,0.727603
3853,NH,0.727603
3854,NH,0.727603
3855,NH,0.727603
3856,NH,0.727603
3857,NH,0.727603
3858,NH,0.727603
3859,NH,0.727603
3860,NH,0.727603
3861,NH,0.727603
3862,NH,0.727603
3864,NH,0.727603
3865,NH,0.727603
3866,NH,0.727603
3867,NH,0.727603
3868,NH,0.727603
3869,NH,0.727603
3870,NH,0.727603
3871,NH,0.727603
3872,NH,0.727603
3873,NH,0.727603
3874,NH,0.727603
3875,NH,0.727603
3878,NH,0.727603
3882,NH,0.727603
3883,NH,0.727603
3884,NH,0.727603
3885,NH,0.727603
3886,NH,0.727603
3887,NH,0.727603
3890,NH,0.727603
3894,NH,0.727603
3896,NH,0.727603
3897,NH,0.727603
3901,ME,0.727603
3902,ME,0.727603
3903,ME,0.727603
3904,ME,0.727603
3905,ME,0.727603
3906,ME,0.727603
3907,ME,0.727603
3908,ME,0.727603
3909,ME,0.727603
3910,ME,0.727603
3911,ME,0.727603
4001,ME,0.727603
4002,ME,0.727603
4003,ME,0.727603
4004,ME,0.727603
4005,ME,0.727603
4006,ME,0.727603
4007,ME,0.727603
4008,ME,0.727603
4009,ME,0.727603
4010,ME,0.727603
4011,ME,0.727603
4014,ME,0.727603
4015,ME,0.727603
4016,ME,0.727603
4017,ME,0.727603
4019,ME,0.727603
4020,ME,0.727603
4021,ME,0.727603
4022,ME,0.727603
4024,ME,0.727603
4027,ME,0.727603
4028,ME,0.727603
4029,ME,0.727603
4030,ME,0.727603
4032,ME,0.727603
4033,ME,0.727603
4034,ME,0.727603
4037,ME,0.727603
4038,ME,0.727603
4039,ME,0.727603
4040,ME,0.727603
4041,ME,0.727603
4042,ME,0.727603
4043,ME,0.727603
4046,ME,0.727603
4047,ME,0.727603
4048,ME,0.727603
4049,ME,0.727603
4050,ME,0.727603
4051,ME,0.727603
4054,ME,0.727603
4055,ME,0.727603
4056,ME,0.727603
4057,ME,0.727603
4061,ME,0.727603
4062,ME,0.727603
4063,ME,0.727603
4064,ME,0.727603
4066,ME,0.727603
4068,ME,0.727603
4069,ME,0.727603
4070,ME,0.727603
4071,ME,0.727603
4072,ME,0.727603
4073,ME,0.727603
4074,ME,0.727603
4076,ME,0.727603
4077,ME,0.727603
4078,ME,0.727603
4079,ME,0.727603
4082,ME,0.727603
4083,ME,0.727603
4084,ME,0.727603
4085,ME,0.727603
4086,ME,0.727603
4087,ME,0.727603
4088,ME,0.727603
4090,ME,0.727603
4091,ME,0.727603
4092,ME,0.727603
4093,ME,0.727603
4094,ME,0.727603
4095,ME,0.727603
4096,ME,0.727603
4097,ME,0.727603
4098,ME,0.727603
4101,ME,0.727603
4102,ME,0.727603
4103,ME,0.727603
4104,ME,0.727603
